X,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque,torque_difference,max_force_difference
67,PLAYER_755,10/28/2022,566.888334,4378.499395,NA,NA,NA,NA,NA,NA
68,PLAYER_755,10/29/2022,608.94412,4454.3172,NA,NA,NA,NA,NA,NA
69,PLAYER_755,12/20/2022,406.331145,2943.484212,NA,NA,NA,NA,NA,NA
70,PLAYER_755,12/21/2022,427.228675,3584.885632,NA,NA,NA,NA,NA,NA
71,PLAYER_755,12/27/2022,463.290174,4085.284848,NA,NA,NA,NA,NA,NA
72,PLAYER_755,12/28/2022,547.124309,4101.140315,NA,NA,NA,NA,NA,NA
73,PLAYER_755,12/29/2022,718.3684,5574.13997,NA,NA,NA,NA,NA,NA
74,PLAYER_755,12/30/2022,641.388199,5020.301607,NA,NA,NA,NA,NA,NA
75,PLAYER_755,12/31/2022,546.347934,3870.03389,NA,NA,NA,NA,NA,NA
76,PLAYER_755,1/2/2023,413.640962,3709.300138,NA,NA,NA,NA,NA,NA
77,PLAYER_755,1/3/2023,592.400861,4532.538751,NA,NA,NA,NA,NA,NA
78,PLAYER_755,1/4/2023,521.312562,4378.499278,NA,NA,NA,NA,NA,NA
79,PLAYER_755,1/5/2023,609.829341,4230.118437,NA,NA,NA,NA,NA,NA
80,PLAYER_755,1/6/2023,621.869963,4435.507193,NA,NA,NA,NA,NA,NA
81,PLAYER_755,1/7/2023,324.065785,2650.345131,NA,NA,NA,NA,NA,NA
82,PLAYER_755,1/9/2023,309.719231,2557.31208,NA,NA,NA,NA,NA,NA
83,PLAYER_755,1/10/2023,734.925931,5466.479627,NA,NA,NA,NA,NA,NA
84,PLAYER_755,1/11/2023,619.810627,5021.111503,NA,NA,NA,NA,NA,NA
85,PLAYER_755,1/12/2023,296.461883,2158.21446,NA,NA,NA,NA,NA,NA
86,PLAYER_755,1/14/2023,322.468739,2206.520399,NA,NA,NA,NA,NA,NA
87,PLAYER_755,1/16/2023,372.301108,3023.202881,NA,NA,NA,NA,NA,NA
88,PLAYER_755,1/17/2023,689.518182,5285.710296,NA,NA,NA,NA,NA,NA
89,PLAYER_755,1/18/2023,625.529121,4991.624447,NA,NA,NA,NA,NA,NA
90,PLAYER_755,1/19/2023,549.414318,4507.477568,NA,NA,NA,NA,NA,NA
91,PLAYER_755,1/20/2023,407.814242,2885.268807,NA,NA,NA,NA,NA,NA
92,PLAYER_755,1/21/2023,549.032262,4082.948838,NA,NA,NA,NA,NA,NA
93,PLAYER_755,1/24/2023,511.708457,4164.20741,NA,NA,NA,NA,NA,NA
94,PLAYER_755,1/25/2023,420.957089,3586.697669,NA,NA,NA,NA,NA,NA
95,PLAYER_755,1/26/2023,485.778908,3457.089956,NA,NA,NA,NA,NA,NA
96,PLAYER_755,1/28/2023,604.019513,4295.449445,NA,NA,NA,NA,NA,NA
97,PLAYER_755,1/31/2023,615.782179,4856.367343,NA,NA,NA,NA,NA,NA
98,PLAYER_755,2/1/2023,631.004097,4842.361199,NA,NA,NA,NA,NA,NA
99,PLAYER_755,2/2/2023,599.673497,4593.203217,NA,NA,NA,NA,NA,NA
100,PLAYER_755,2/3/2023,300.229524,2180.481832,NA,NA,NA,NA,NA,NA
101,PLAYER_755,2/4/2023,538.645492,3871.021694,NA,NA,NA,NA,NA,NA
102,PLAYER_755,2/6/2023,447.796714,3459.826201,NA,NA,NA,NA,NA,NA
103,PLAYER_755,2/7/2023,572.160222,4412.567129,NA,NA,NA,NA,NA,NA
104,PLAYER_755,2/8/2023,589.325254,4769.655466,NA,NA,NA,NA,NA,NA
