X,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque,torque_difference,max_force_difference
0,PLAYER_1128,6/15/2022,NA,NA,318.25,138.916125,276.5,120.69225,18.223875,41.75
1,PLAYER_1128,6/30/2022,NA,NA,292.75,127.785375,255.75,111.634875,16.1505,37
2,PLAYER_1128,7/14/2022,585.125301,4057.512973,NA,NA,NA,NA,NA,NA
3,PLAYER_1128,7/18/2022,354.546925,2286.29818,NA,NA,NA,NA,NA,NA
4,PLAYER_1128,7/19/2022,373.493541,2435.129281,NA,NA,NA,NA,NA,NA
5,PLAYER_1128,7/29/2022,606.568631,3973.093681,NA,NA,NA,NA,NA,NA
6,PLAYER_1128,8/1/2022,NA,NA,331,144.4815,296.5,129.42225,15.05925,34.5
7,PLAYER_1128,8/2/2022,659.15051,4908.17598,NA,NA,NA,NA,NA,NA
8,PLAYER_1128,8/4/2022,714.503662,5078.651631,NA,NA,NA,NA,NA,NA
9,PLAYER_1128,8/22/2022,708.232286,5574.591782,NA,NA,NA,NA,NA,NA
10,PLAYER_1128,8/24/2022,479.052361,3602.601778,NA,NA,NA,NA,NA,NA
11,PLAYER_1128,8/24/2022,NA,NA,342,149.283,274,119.601,29.682,68
12,PLAYER_1128,8/26/2022,679.00001,5504.545007,NA,NA,NA,NA,NA,NA
13,PLAYER_1128,8/29/2022,768.965673,6167.706101,NA,NA,NA,NA,NA,NA
14,PLAYER_1128,8/31/2022,394.613215,2702.988246,NA,NA,NA,NA,NA,NA
15,PLAYER_1128,9/1/2022,785.780755,5959.446417,NA,NA,NA,NA,NA,NA
16,PLAYER_1128,9/2/2022,647.526582,4510.170197,NA,NA,NA,NA,NA,NA
17,PLAYER_1128,9/6/2022,521.228588,3532.474403,NA,NA,NA,NA,NA,NA
18,PLAYER_1128,9/7/2022,758.73053,6294.59048,NA,NA,NA,NA,NA,NA
19,PLAYER_1128,9/8/2022,797.848332,5986.224687,NA,NA,NA,NA,NA,NA
