,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_599,2023-08-10 15:56:14,449.5,188.11575,316.75,132.559875
1,PLAYER_599,2023-08-14 16:24:02,438.5,183.51225,320.75,134.233875
2,PLAYER_599,2023-08-14 16:25:05,417.5,174.72375,314.0,131.409
3,PLAYER_599,2023-08-17 15:20:13,451.25,188.848125,367.75,153.903375
4,PLAYER_599,2023-08-21 15:55:18,466.25,195.125625,395.75,165.621375
5,PLAYER_599,2023-08-24 18:10:06,474.25,198.473625,417.0,174.5145
6,PLAYER_599,2023-08-31 17:32:26,449.25,183.967875,400.75,164.107125
7,PLAYER_599,2023-09-02 17:05:24,483.25,197.890875,433.75,177.620625
8,PLAYER_599,2023-09-02 17:06:49,371.75,152.231625,315.5,129.19725
9,PLAYER_599,2023-10-18 19:04:02,471.0,192.8745,384.0,157.248
10,PLAYER_599,2023-11-14 19:36:04,453.5,185.70825,385.75,157.964625
