,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_477,2023-08-31 13:21:45,257.5,103.12875,234.75,94.017375
1,PLAYER_477,2023-11-06 17:55:18,337.5,135.16875,270.75,108.435375
2,PLAYER_477,2023-11-28 16:54:33,268.5,107.53425,226.25,90.613125
3,PLAYER_477,2023-11-30 17:29:33,349.25,139.874625,273.5,109.53675
4,PLAYER_477,2024-01-18 19:07:48,265.25,106.232625,220.25,88.210125
5,PLAYER_477,2024-04-02 16:51:49,285.75,,224.5,
6,PLAYER_477,2024-08-30 15:43:06,329.75,123.161625,277.75,103.739625
7,PLAYER_477,2024-09-24 16:28:45,331.75,123.908625,254.5,95.05575
8,PLAYER_477,2024-10-22 16:23:55,323.5,120.82725,324.75,121.294125
9,PLAYER_477,2025-01-16 23:04:27,323.75,120.920625,331.5,123.81525
10,PLAYER_477,2025-08-29 15:55:36,336.75,125.776125,297.5,111.11625
