,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_427,2022-09-01 13:23:21,284.5,119.06325,292.75,122.515875
1,PLAYER_427,2022-09-08 13:18:26,308.75,129.211875,306.5,128.27025
2,PLAYER_427,2022-09-22 13:25:32,309.5,129.52575,306.5,128.27025
3,PLAYER_427,2022-10-04 13:37:27,318.5,133.29225,309.75,129.630375
4,PLAYER_427,2022-11-17 15:04:42,291.75,122.097375,277.75,116.238375
5,PLAYER_427,2023-01-21 18:24:01,333.75,139.674375,330.75,138.418875
6,PLAYER_427,2023-04-18 13:35:51,417.25,174.619125,369.5,154.63575
7,PLAYER_427,2023-08-31 13:11:14,401.5,171.64125,333.0,142.3575
8,PLAYER_427,2023-11-06 18:00:14,428.25,183.076875,372.25,159.136875
9,PLAYER_427,2023-11-28 17:05:20,309.75,132.418125,274.75,117.455625
10,PLAYER_427,2023-11-30 17:40:26,410.0,175.275,358.75,153.365625
11,PLAYER_427,2024-04-02 16:56:28,323.5,,282.0,
12,PLAYER_427,2024-08-30 15:19:19,372.75,149.286375,344.25,137.872125
13,PLAYER_427,2024-09-24 16:45:18,411.0,164.6055,379.25,151.889625
14,PLAYER_427,2024-10-22 16:11:52,390.0,163.215,315.25,131.932125
15,PLAYER_427,2025-01-16 22:56:52,397.75,166.458375,394.0,164.889
