,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_1133,2021-01-19 19:11:39,354.25,170.571375,301.0,144.9315
1,PLAYER_1133,2021-01-26 19:05:07,301.75,145.292625,287.0,138.1905
2,PLAYER_1133,2021-02-03 19:48:59,458.25,220.647375,364.5,175.50675
3,PLAYER_1133,2021-02-08 20:08:39,482.0,232.083,340.75,164.071125
4,PLAYER_1133,2021-09-03 20:31:18,321.0,154.5615,261.75,126.032625
5,PLAYER_1133,2021-09-17 19:21:32,308.25,148.422375,264.25,127.236375
6,PLAYER_1133,2021-10-01 20:27:04,384.75,185.257125,270.25,130.125375
7,PLAYER_1133,2021-11-05 20:35:36,430.0,207.045,367.0,176.7105
8,PLAYER_1133,2022-01-26 21:14:50,336.25,161.904375,308.75,148.663125
9,PLAYER_1133,2022-02-04 21:15:13,316.5,152.39475,285.75,137.588625
10,PLAYER_1133,2022-02-11 21:29:21,339.75,163.589625,304.75,146.737125
11,PLAYER_1133,2022-08-26 20:28:29,298.75,143.848125,328.0,157.932
12,PLAYER_1133,2022-09-16 20:23:22,235.0,106.8075,223.25,101.467125
13,PLAYER_1133,2023-01-20 20:44:15,303.0,137.7135,270.0,122.715
