,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_499,2022-09-01 13:25:46,255.75,109.333125,232.5,99.39375
1,PLAYER_499,2022-09-06 13:54:54,265.0,113.2875,237.25,101.424375
2,PLAYER_499,2022-09-22 13:27:02,274.5,117.34875,273.25,116.814375
3,PLAYER_499,2022-11-17 15:01:50,313.75,134.128125,288.5,123.33375
4,PLAYER_499,2023-04-18 13:33:49,326.75,139.685625,279.25,119.379375
5,PLAYER_499,2023-08-31 13:12:13,284.5,126.74475,263.25,117.277875
6,PLAYER_499,2023-11-06 17:48:57,296.0,131.868,243.75,108.590625
7,PLAYER_499,2023-11-28 17:13:52,266.0,118.503,229.25,102.130875
8,PLAYER_499,2023-11-30 17:22:27,300.5,133.87275,277.5,123.62625
9,PLAYER_499,2024-01-18 18:10:41,267.5,119.17125,219.75,97.898625
10,PLAYER_499,2024-04-02 16:45:26,250.25,,194.5,
11,PLAYER_499,2025-08-29 16:10:59,306.25,136.434375,340.0,151.47
