,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_719,2021-11-17 17:49:23,,,316.25,126.658125,289.5,115.94475
1,PLAYER_719,2022-02-01 15:16:45,,,227.75,91.213875,258.5,103.52925
2,PLAYER_719,2022-02-22 15:29:44,,,218.5,87.50925,233.25,93.416625
3,PLAYER_719,2022-08-07 15:30:00,381.569463,3098.615072,,,,
4,PLAYER_719,2022-09-07 12:05:54,,,204.0,81.702,112.0,44.856
5,PLAYER_719,2022-10-14 16:20:00,295.800587,3294.62303,,,,
6,PLAYER_719,2022-10-15 13:25:00,456.114512,4523.944439,,,,
7,PLAYER_719,2022-10-19 11:09:19,,,204.5,81.90225,145.25,58.172625
8,PLAYER_719,2022-10-19 15:55:00,435.55827,4243.3005,,,,
9,PLAYER_719,2022-10-20 16:15:00,355.767722,3760.011539,,,,
10,PLAYER_719,2022-10-21 15:55:00,428.217618,5948.632922,,,,
11,PLAYER_719,2022-10-22 13:00:00,203.155665,1691.658137,,,,
12,PLAYER_719,2022-10-25 16:25:00,281.301858,2820.252513,,,,
13,PLAYER_719,2022-10-26 18:30:00,321.38936,2789.674075,,,,
14,PLAYER_719,2022-11-15 17:58:06,,,197.25,78.998625,151.0,60.4755
15,PLAYER_719,2023-01-18 18:07:28,,,221.75,88.810875,158.5,63.47925
16,PLAYER_719,2023-01-25 19:15:48,,,247.75,99.223875,179.75,71.989875
17,PLAYER_719,2023-02-27 19:23:22,,,259.25,103.829625,211.25,84.605625
18,PLAYER_719,2023-03-20 18:03:00,,,260.25,104.230125,244.5,97.92225
19,PLAYER_719,2023-04-17 17:44:02,,,309.5,123.95475,289.75,116.044875
20,PLAYER_719,2023-04-24 17:54:13,,,300.0,120.15,282.25,113.041125
21,PLAYER_719,2023-07-17 11:38:52,,,231.0,92.5155,179.75,71.989875
22,PLAYER_719,2023-07-17 11:58:00,217.643873,2223.140638,,,,
23,PLAYER_719,2023-07-18 11:55:00,287.299078,2674.15984,,,,
24,PLAYER_719,2023-07-19 11:59:00,243.416328,2112.647495,,,,
25,PLAYER_719,2023-07-19 12:55:31,,,324.75,130.062375,280.25,112.240125
26,PLAYER_719,2023-07-20 11:54:14,329.714895,3326.039522,,,,
27,PLAYER_719,2023-07-21 11:57:00,317.530415,3206.593843,,,,
28,PLAYER_719,2023-07-24 12:00:28,244.648853,2641.401941,,,,
29,PLAYER_719,2023-07-25 11:49:28,305.316793,2881.031834,,,,
30,PLAYER_719,2023-07-26 11:57:02,278.965126,2550.248662,,,,
31,PLAYER_719,2023-07-27 11:52:43,337.023996,3948.280218,,,,
32,PLAYER_719,2023-07-28 11:54:32,249.331181,2351.60506,,,,
33,PLAYER_719,2023-08-01 11:10:00,170.112415,1590.207289,,,,
34,PLAYER_719,2023-08-01 19:30:00,420.42581,3643.87816,,,,
35,PLAYER_719,2023-08-07 18:30:00,569.326928,5145.247854,,,,
36,PLAYER_719,2023-08-08 11:50:02,359.890514,2234.74022,,,,
37,PLAYER_719,2023-08-08 18:28:00,926.091156,8222.764321,,,,
38,PLAYER_719,2023-08-09 11:21:48,597.06992,5194.315927,,,,
39,PLAYER_719,2023-08-09 18:20:48,505.238083,4438.406216,,,,
40,PLAYER_719,2023-08-10 15:15:00,415.470225,3295.71574,,,,
41,PLAYER_719,2023-08-11 11:25:00,332.229046,3978.987878,,,,
42,PLAYER_719,2023-08-11 18:25:00,740.463111,6848.418907,,,,
43,PLAYER_719,2023-08-12 11:25:00,860.938489,7854.544575,,,,
44,PLAYER_719,2023-08-12 18:30:00,353.994031,3517.793887,,,,
45,PLAYER_719,2023-08-14 11:25:00,687.429914,6255.433198,,,,
46,PLAYER_719,2023-08-15 11:25:00,549.008459,5120.663926,,,,
47,PLAYER_719,2023-08-15 13:21:15,,,221.0,88.5105,233.5,93.51675
48,PLAYER_719,2023-08-16 18:55:00,444.16379,4091.484413,,,,
49,PLAYER_719,2023-08-17 21:45:00,452.260311,3794.258575,,,,
50,PLAYER_719,2023-08-18 12:00:00,473.026847,4441.496398,,,,
51,PLAYER_719,2023-08-19 12:55:00,488.19908,4329.525464,,,,
52,PLAYER_719,2023-08-20 16:10:00,793.54315,7201.788668,,,,
53,PLAYER_719,2023-08-22 11:25:00,549.72968,5032.409545,,,,
54,PLAYER_719,2023-08-23 12:28:00,448.723677,4043.337496,,,,
55,PLAYER_719,2023-08-24 18:45:00,661.494086,6049.935248,,,,
56,PLAYER_719,2023-08-25 11:30:00,287.817753,2623.081118,,,,
57,PLAYER_719,2023-08-26 18:10:00,544.605169,4847.483146,,,,
58,PLAYER_719,2023-08-27 15:00:00,747.411081,7354.153428,,,,
59,PLAYER_719,2023-08-29 16:00:00,645.096279,6095.893629,,,,
60,PLAYER_719,2023-08-30 15:55:00,468.313698,4463.873786,,,,
61,PLAYER_719,2023-08-31 22:20:00,988.670601,8932.462233,,,,
62,PLAYER_719,2023-09-01 16:00:00,418.80287,3789.20957,,,,
63,PLAYER_719,2023-09-02 12:55:00,499.257748,4429.567016,,,,
64,PLAYER_719,2023-09-03 12:55:00,852.490907,8717.724865,,,,
65,PLAYER_719,2023-09-05 16:00:00,517.482687,5075.501665,,,,
66,PLAYER_719,2023-09-06 16:00:00,469.969336,4392.450846,,,,
67,PLAYER_719,2023-09-07 21:45:00,726.486443,6993.849476,,,,
68,PLAYER_719,2023-09-08 16:30:00,349.635301,3113.982822,,,,
69,PLAYER_719,2023-09-09 11:50:00,344.96634,3402.45696,,,,
70,PLAYER_719,2023-09-10 16:10:00,820.666495,7873.172589,,,,
71,PLAYER_719,2023-09-12 15:55:00,503.880493,4318.999034,,,,
72,PLAYER_719,2023-09-13 15:57:00,423.401738,3824.733103,,,,
73,PLAYER_719,2023-09-14 21:30:00,874.734576,7762.261664,,,,
74,PLAYER_719,2023-09-15 16:35:00,445.662113,3920.541438,,,,
75,PLAYER_719,2023-09-16 13:00:00,390.123732,3535.735647,,,,
76,PLAYER_719,2023-09-17 17:10:00,655.565725,6269.080097,,,,
77,PLAYER_719,2023-09-20 15:55:00,629.34732,6137.5819,,,,
78,PLAYER_719,2023-09-21 15:55:00,753.35102,6680.352012,,,,
79,PLAYER_719,2023-09-22 16:00:00,425.000976,3708.699285,,,,
80,PLAYER_719,2023-09-23 15:05:00,400.590688,3619.092493,,,,
81,PLAYER_719,2023-09-24 15:45:00,883.004199,8317.230089,,,,
82,PLAYER_719,2023-09-26 16:10:00,522.459298,4660.806668,,,,
83,PLAYER_719,2023-09-27 23:10:00,474.122452,4510.666927,,,,
84,PLAYER_719,2023-09-28 20:25:00,1054.447862,9541.621596,,,,
85,PLAYER_719,2023-09-29 16:30:00,222.110402,1492.033466,,,,
86,PLAYER_719,2023-09-30 13:00:00,333.746779,3069.362345,,,,
87,PLAYER_719,2023-10-01 15:15:00,952.098445,9249.931249,,,,
88,PLAYER_719,2023-10-03 16:00:00,469.363961,4544.22372,,,,
89,PLAYER_719,2023-10-05 22:00:00,1094.584085,10552.32878,,,,
90,PLAYER_719,2023-10-06 19:00:00,223.368108,1618.228972,,,,
91,PLAYER_719,2023-10-07 15:25:00,387.055171,3682.622506,,,,
92,PLAYER_719,2023-10-08 16:00:00,1167.548374,11255.654415,,,,
93,PLAYER_719,2023-10-10 16:00:00,411.931364,3817.993098,,,,
94,PLAYER_719,2023-10-11 16:00:00,438.589723,4283.286752,,,,
95,PLAYER_719,2023-10-12 21:50:00,968.401115,9517.689535,,,,
96,PLAYER_719,2023-10-13 16:00:00,148.959672,1678.292119,,,,
97,PLAYER_719,2023-10-14 13:00:00,418.849308,4005.684399,,,,
98,PLAYER_719,2023-10-15 15:00:00,812.450868,7763.798789,,,,
99,PLAYER_719,2023-10-17 15:53:39,446.447828,3784.503054,,,,
100,PLAYER_719,2023-10-18 22:44:00,420.469202,3935.830728,,,,
101,PLAYER_719,2023-10-19 21:03:15,946.439083,8910.883753,,,,
102,PLAYER_719,2023-10-21 12:55:00,362.326317,2977.495827,,,,
103,PLAYER_719,2023-10-22 12:22:15,368.01932,3359.189085,,,,
104,PLAYER_719,2023-10-24 15:55:00,451.294325,4038.097459,,,,
105,PLAYER_719,2023-10-26 19:22:02,488.470642,4508.263245,,,,
106,PLAYER_719,2023-11-16 17:12:26,,,272.0,108.936,245.75,98.422875
107,PLAYER_719,2023-11-16 17:13:06,,,220.25,88.210125,191.0,76.4955
108,PLAYER_719,2023-12-11 17:40:42,,,304.25,121.852125,266.75,106.833375
109,PLAYER_719,2024-01-24 19:27:03,,,353.0,141.3765,296.0,118.548
110,PLAYER_719,2024-03-26 17:00:00,448.028608,4612.387466,,,,
111,PLAYER_719,2024-03-27 16:25:00,444.710704,4518.71328,,,,
112,PLAYER_719,2024-03-28 17:00:00,409.718235,4472.37139,,,,
113,PLAYER_719,2024-03-29 21:00:00,1092.272749,11139.367234,,,,
114,PLAYER_719,2024-04-01 16:30:00,482.766519,4981.322998,,,,
115,PLAYER_719,2024-04-02 17:00:00,475.88847,5066.005459,,,,
116,PLAYER_719,2024-04-03 17:59:41,,,314.25,125.857125,283.25,113.441625
117,PLAYER_719,2024-04-04 17:00:00,603.016306,6558.732807,,,,
118,PLAYER_719,2024-04-05 18:00:00,1281.757707,14011.578347,,,,
119,PLAYER_719,2024-04-08 16:30:00,490.557166,4867.359756,,,,
120,PLAYER_719,2024-04-09 17:00:00,468.51999,5367.451507,,,,
121,PLAYER_719,2024-04-11 17:00:00,369.205935,3760.14063,,,,
122,PLAYER_719,2024-04-12 20:30:00,1253.434149,13625.840191,,,,
123,PLAYER_719,2024-04-15 16:30:00,462.05819,4792.286888,,,,
124,PLAYER_719,2024-04-16 17:00:00,450.698916,5045.204774,,,,
125,PLAYER_719,2024-04-17 16:30:00,385.751633,4264.911176,,,,
126,PLAYER_719,2024-04-18 17:00:48,392.990114,3750.289766,,,,
127,PLAYER_719,2024-04-19 23:30:00,1133.897395,11550.72865,,,,
128,PLAYER_719,2024-04-22 16:30:00,463.56889,4846.642158,,,,
129,PLAYER_719,2024-04-23 17:00:00,265.353015,2611.153756,,,,
130,PLAYER_719,2024-04-25 16:55:00,351.482596,3551.538753,,,,
131,PLAYER_719,2024-04-26 16:30:00,475.752939,5142.264592,,,,
132,PLAYER_719,2024-07-15 10:49:39,,,334.25,133.867125,306.5,122.75325
133,PLAYER_719,2024-07-16 10:30:00,375.871658,3303.672913,,,,
134,PLAYER_719,2024-07-17 10:00:00,224.770766,1997.367302,,,,
135,PLAYER_719,2024-07-18 10:30:27,327.68357,3107.399431,,,,
136,PLAYER_719,2024-07-19 10:30:00,236.511133,1953.459112,,,,
137,PLAYER_719,2024-07-22 10:30:00,209.210948,2085.314295,,,,
138,PLAYER_719,2024-07-23 10:20:00,266.739595,2579.70937,,,,
139,PLAYER_719,2024-07-23 11:05:00,204.023577,1750.646058,,,,
140,PLAYER_719,2024-07-24 10:30:00,144.858874,1206.871267,,,,
141,PLAYER_719,2024-07-25 10:30:00,414.509833,3882.437609,,,,
142,PLAYER_719,2024-07-26 10:30:00,214.053127,2074.505719,,,,
143,PLAYER_719,2024-07-30 11:25:00,266.108322,2451.860117,,,,
144,PLAYER_719,2024-07-30 19:45:00,813.74008,7953.400039,,,,
145,PLAYER_719,2024-07-31 11:25:00,511.564339,4436.418044,,,,
146,PLAYER_719,2024-07-31 19:30:00,582.067172,5260.281131,,,,
147,PLAYER_719,2024-08-01 11:25:00,638.114564,5844.02012,,,,
148,PLAYER_719,2024-08-01 19:20:00,508.144318,4157.674212,,,,
149,PLAYER_719,2024-08-02 11:25:00,535.925544,4912.693935,,,,
150,PLAYER_719,2024-08-03 11:30:00,582.204136,5403.701362,,,,
151,PLAYER_719,2024-08-03 19:30:00,673.621051,6531.568564,,,,
152,PLAYER_719,2024-08-04 12:00:00,647.230986,5802.243281,,,,
153,PLAYER_719,2024-08-05 11:25:00,292.042358,2175.175675,,,,
154,PLAYER_719,2024-08-05 20:15:00,962.020031,8645.78585,,,,
155,PLAYER_719,2024-08-06 11:30:00,440.112632,3689.260866,,,,
156,PLAYER_719,2024-08-07 11:25:00,624.506209,5742.164646,,,,
157,PLAYER_719,2024-08-07 18:30:00,392.714532,3325.699066,,,,
158,PLAYER_719,2024-08-08 19:30:00,1005.376815,9372.008981,,,,
159,PLAYER_719,2024-08-09 12:00:00,438.687998,3238.228085,,,,
160,PLAYER_719,2024-08-10 11:30:00,391.881082,3445.591039,,,,
161,PLAYER_719,2024-08-10 18:30:00,897.635999,8687.037069,,,,
162,PLAYER_719,2024-08-12 11:30:00,723.546394,6487.650091,,,,
163,PLAYER_719,2024-08-13 11:25:00,671.151989,6342.239234,,,,
164,PLAYER_719,2024-08-14 19:15:00,435.147835,3910.577856,,,,
165,PLAYER_719,2024-08-15 21:40:00,700.080079,7014.587111,,,,
166,PLAYER_719,2024-08-16 13:00:00,441.87889,3797.506973,,,,
167,PLAYER_719,2024-08-17 20:15:00,337.284864,3000.06793,,,,
168,PLAYER_719,2024-08-18 16:00:00,800.60188,6889.0294,,,,
169,PLAYER_719,2024-08-20 11:30:00,569.888328,5126.611284,,,,
170,PLAYER_719,2024-08-21 19:15:00,405.816632,3507.989165,,,,
171,PLAYER_719,2024-08-22 20:15:00,1139.631278,11400.726003,,,,
172,PLAYER_719,2024-08-23 12:00:00,364.553366,3138.312085,,,,
173,PLAYER_719,2024-08-24 15:00:38,470.069609,4114.488429,,,,
174,PLAYER_719,2024-08-27 16:30:00,590.96194,5752.887874,,,,
175,PLAYER_719,2024-08-28 17:30:00,442.060994,3899.614159,,,,
176,PLAYER_719,2024-08-29 16:30:00,658.647863,6391.847333,,,,
177,PLAYER_719,2024-08-30 16:00:16,476.751105,4594.147893,,,,
178,PLAYER_719,2024-08-31 20:45:00,372.181494,3442.114175,,,,
179,PLAYER_719,2024-09-01 16:15:00,949.860906,9001.323388,,,,
180,PLAYER_719,2024-09-03 16:30:00,617.884626,5813.259246,,,,
181,PLAYER_719,2024-09-04 17:30:00,359.078529,2988.039544,,,,
182,PLAYER_719,2024-09-05 21:30:00,718.558896,6248.024749,,,,
183,PLAYER_719,2024-09-06 16:00:00,486.814762,4013.187887,,,,
184,PLAYER_719,2024-09-07 13:00:00,572.25923,4896.830328,,,,
185,PLAYER_719,2024-09-08 13:00:00,400.661331,3536.341352,,,,
186,PLAYER_719,2024-09-10 16:30:00,173.1416,1729.967602,,,,
187,PLAYER_719,2024-09-11 20:00:00,341.488186,3064.26501,,,,
188,PLAYER_719,2024-09-12 20:00:00,906.324908,8717.344354,,,,
189,PLAYER_719,2024-09-13 16:00:00,224.128706,1887.299172,,,,
190,PLAYER_719,2024-09-14 20:30:00,295.356601,2658.39464,,,,
191,PLAYER_719,2024-09-15 17:25:00,783.683515,7249.42359,,,,
192,PLAYER_719,2024-09-18 17:30:00,531.424632,5004.674708,,,,
193,PLAYER_719,2024-09-19 16:30:00,767.334583,7670.29182,,,,
194,PLAYER_719,2024-09-20 16:00:00,498.611849,4793.122011,,,,
195,PLAYER_719,2024-09-21 13:00:00,459.476706,4359.545572,,,,
196,PLAYER_719,2024-09-22 15:15:00,826.618361,7780.353078,,,,
197,PLAYER_719,2024-09-24 16:30:00,500.567746,4682.100908,,,,
198,PLAYER_719,2024-09-24 18:23:02,,,314.5,125.95725,272.75,109.236375
199,PLAYER_719,2024-09-26 22:00:00,1041.531388,10193.10625,,,,
200,PLAYER_719,2024-09-28 18:10:00,447.922428,4351.395709,,,,
201,PLAYER_719,2024-09-29 16:10:00,779.751062,7210.934412,,,,
202,PLAYER_719,2024-10-01 16:30:00,497.071641,4685.412036,,,,
203,PLAYER_719,2024-10-02 17:30:00,477.121165,4156.327203,,,,
204,PLAYER_719,2024-10-02 18:00:00,312.990273,2816.71685,,,,
205,PLAYER_719,2024-10-05 13:00:00,349.618899,3231.649416,,,,
206,PLAYER_719,2024-10-06 18:45:00,862.922149,8412.985541,,,,
207,PLAYER_719,2024-10-08 16:30:00,465.262344,4106.400559,,,,
208,PLAYER_719,2024-10-09 17:30:00,415.978454,4154.442399,,,,
209,PLAYER_719,2024-10-10 21:15:00,973.65913,8766.908663,,,,
210,PLAYER_719,2024-10-13 16:20:00,966.462276,9521.653465,,,,
211,PLAYER_719,2024-10-16 17:30:00,268.765216,1934.129831,,,,
212,PLAYER_719,2024-10-17 16:30:00,620.533037,5702.412293,,,,
213,PLAYER_719,2024-10-18 16:00:00,541.804851,5037.880153,,,,
214,PLAYER_719,2024-10-19 13:00:16,525.318245,4954.714836,,,,
215,PLAYER_719,2024-10-20 16:20:00,856.790989,7928.395251,,,,
216,PLAYER_719,2024-10-22 16:30:00,533.908424,4775.306815,,,,
217,PLAYER_719,2024-10-23 17:30:00,504.245347,4808.472907,,,,
218,PLAYER_719,2024-10-24 21:15:00,1284.668928,12525.587627,,,,
219,PLAYER_719,2024-10-25 16:00:00,194.988505,1550.856408,,,,
220,PLAYER_719,2024-10-27 17:10:00,886.585023,8442.432874,,,,
221,PLAYER_719,2024-10-30 17:30:00,568.312295,5021.098025,,,,
222,PLAYER_719,2024-10-31 04:30:00,389.719034,3451.781423,,,,
223,PLAYER_719,2024-11-01 16:00:00,465.425172,4452.102966,,,,
224,PLAYER_719,2024-11-03 17:20:00,844.108136,8020.267774,,,,
225,PLAYER_719,2024-11-05 17:30:00,93.429874,699.953326,,,,
226,PLAYER_719,2024-11-06 06:30:00,564.566601,5002.163373,,,,
227,PLAYER_719,2024-11-09 23:20:00,893.784981,7762.900298,,,,
228,PLAYER_719,2024-11-12 17:30:00,425.844111,3632.615375,,,,
229,PLAYER_719,2024-11-13 18:30:00,585.815348,5489.841191,,,,
230,PLAYER_719,2024-11-16 22:00:00,1370.618061,13368.340898,,,,
231,PLAYER_719,2025-01-27 12:49:28,,,372.75,149.286375,333.75,133.666875
232,PLAYER_719,2025-02-26 13:00:00,731.664147,7164.367348,,,,
233,PLAYER_719,2025-02-27 13:00:00,708.248329,6769.809733,,,,
234,PLAYER_719,2025-02-28 13:00:00,810.256544,8173.052054,,,,
235,PLAYER_719,2025-03-03 13:00:00,655.983585,6212.940113,,,,
236,PLAYER_719,2025-03-04 13:00:00,485.366686,4659.158692,,,,
237,PLAYER_719,2025-03-05 13:00:00,600.726592,6039.382151,,,,
238,PLAYER_719,2025-03-06 13:00:00,567.861655,5332.837642,,,,
239,PLAYER_719,2025-03-07 13:00:00,647.709098,6644.242649,,,,
240,PLAYER_719,2025-03-11 12:00:00,549.689634,5320.102582,,,,
241,PLAYER_719,2025-03-12 12:00:00,409.06659,3925.051366,,,,
242,PLAYER_719,2025-03-24 12:00:00,576.148252,5397.756053,,,,
243,PLAYER_719,2025-03-25 12:00:00,403.059583,3774.069206,,,,
244,PLAYER_719,2025-03-26 12:00:00,633.924588,6780.301505,,,,
245,PLAYER_719,2025-03-27 12:00:00,599.170092,5783.768101,,,,
246,PLAYER_719,2025-03-28 21:30:00,1239.53735,13082.038709,,,,
247,PLAYER_719,2025-04-01 12:00:00,499.925855,4897.93696,,,,
248,PLAYER_719,2025-04-02 12:00:00,397.197785,3707.974021,,,,
249,PLAYER_719,2025-04-03 22:30:00,1085.734396,11425.539827,,,,
250,PLAYER_719,2025-04-06 13:15:00,1085.83504,11870.147642,,,,
251,PLAYER_719,2025-04-08 12:00:00,597.129293,5966.49205,,,,
252,PLAYER_719,2025-04-08 13:56:26,,,302.5,121.15125,258.0,103.329
253,PLAYER_719,2025-04-09 12:00:00,513.90373,5111.34781,,,,
254,PLAYER_719,2025-04-10 12:00:00,506.198504,5001.225533,,,,
255,PLAYER_719,2025-04-14 12:00:00,661.406646,6281.409716,,,,
256,PLAYER_719,2025-04-15 12:00:00,369.89691,3504.54009,,,,
257,PLAYER_719,2025-04-16 12:00:00,540.948818,5118.746208,,,,
258,PLAYER_719,2025-04-17 23:00:00,865.960479,9113.794136,,,,
259,PLAYER_719,2025-04-21 12:00:00,559.456508,5439.617152,,,,
260,PLAYER_719,2025-04-22 12:00:00,488.405902,4861.844972,,,,
261,PLAYER_719,2025-04-24 12:00:00,452.510427,4243.460491,,,,
262,PLAYER_719,2025-07-14 11:10:34,,,342.0,136.971,306.25,122.653125
263,PLAYER_719,2025-07-21 10:39:00,108.449176,1378.143504,,,,
264,PLAYER_719,2025-07-22 10:30:00,353.518114,3241.039657,,,,
265,PLAYER_719,2025-07-23 10:30:00,227.389578,1791.261735,,,,
266,PLAYER_719,2025-07-24 10:30:00,173.821786,1636.493004,,,,
267,PLAYER_719,2025-07-25 11:30:00,321.415763,2662.290024,,,,
268,PLAYER_719,2025-07-29 11:30:00,238.852366,2300.709125,,,,
269,PLAYER_719,2025-07-29 19:45:00,747.674032,8115.991121,,,,
270,PLAYER_719,2025-07-30 11:30:00,517.496543,4864.11594,,,,
271,PLAYER_719,2025-07-30 19:30:00,523.637893,4824.468117,,,,
272,PLAYER_719,2025-07-31 11:30:00,589.298487,5786.973378,,,,
273,PLAYER_719,2025-08-01 11:25:00,886.475666,8408.093123,,,,
274,PLAYER_719,2025-08-01 19:25:00,702.255352,6635.906778,,,,
275,PLAYER_719,2025-08-02 11:30:00,557.765474,4747.433009,,,,
276,PLAYER_719,2025-08-02 19:30:00,469.022386,4539.365151,,,,
277,PLAYER_719,2025-08-03 13:30:00,898.858754,8862.559182,,,,
278,PLAYER_719,2025-08-04 11:30:00,517.681677,4199.869061,,,,
279,PLAYER_719,2025-08-05 11:25:00,647.681887,6068.835246,,,,
280,PLAYER_719,2025-08-05 18:30:00,546.716626,5147.324726,,,,
281,PLAYER_719,2025-08-06 11:30:00,490.813021,4200.722906,,,,
282,PLAYER_719,2025-08-08 18:30:00,172.922556,1286.991836,,,,
