,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_009,2023-11-06 18:05:58,338.25,126.336375,279.0,104.2065
1,PLAYER_009,2023-11-28 17:12:49,258.5,96.54975,204.25,76.287375
2,PLAYER_009,2023-11-30 17:39:46,307.5,114.85125,247.5,92.44125
3,PLAYER_009,2024-01-18 19:10:08,305.0,113.9175,254.5,95.05575
4,PLAYER_009,2024-04-02 16:48:30,285.0,,209.75,
5,PLAYER_009,2024-08-30 15:20:34,333.5,148.57425,263.25,117.277875
6,PLAYER_009,2024-09-24 16:24:48,324.5,144.56475,283.25,126.187875
7,PLAYER_009,2024-10-22 16:36:54,353.25,154.193625,297.0,129.6405
8,PLAYER_009,2025-01-16 22:50:41,336.75,146.991375,266.75,116.436375
9,PLAYER_009,2025-08-29 15:52:21,349.75,152.665875,312.25,136.297125
