,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_973,2021-12-03 12:57:53,261.0,102.1815,331.75,129.880125
1,PLAYER_973,2022-01-10 17:03:43,199.75,78.202125,260.25,101.887875
2,PLAYER_973,2022-02-16 16:42:08,243.25,95.232375,294.5,115.29675
3,PLAYER_973,2022-02-28 17:01:11,257.25,100.713375,302.5,118.42875
4,PLAYER_973,2022-03-21 16:08:21,302.25,118.330875,345.0,135.0675
5,PLAYER_973,2022-04-04 15:53:12,262.25,102.670875,302.75,118.526625
6,PLAYER_973,2022-04-11 15:48:12,300.75,117.743625,358.25,140.254875
7,PLAYER_973,2022-04-25 15:53:44,258.75,101.300625,318.75,124.790625
8,PLAYER_973,2022-09-06 14:38:33,296.75,116.177625,329.5,128.99925
9,PLAYER_973,2022-11-11 15:24:08,248.25,115.063875,281.75,130.591125
