,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_869,2024-01-30 15:29:34,528.0,254.232,479.25,230.758875
1,PLAYER_869,2024-03-07 15:25:03,563.25,271.204875,442.0,212.823
2,PLAYER_869,2024-07-03 15:43:25,570.0,264.195,480.0,222.48
3,PLAYER_869,2024-07-12 13:47:21,587.75,272.422125,479.75,222.364125
4,PLAYER_869,2024-07-26 13:37:00,586.0,271.611,535.25,248.088375
5,PLAYER_869,2025-01-28 15:38:38,502.25,232.792875,503.75,233.488125
6,PLAYER_869,2025-06-09 16:21:58,589.0,288.9045,587.0,287.9235
7,PLAYER_869,2025-07-02 15:15:51,633.75,310.854375,587.5,288.16875
