,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_861,2022-08-26 21:23:53,309.75,135.205875,283.5,123.74775
1,PLAYER_861,2022-09-14 21:41:03,358.75,156.594375,322.25,140.662125
2,PLAYER_861,2022-10-24 21:38:21,394.75,172.308375,366.0,159.759
3,PLAYER_861,2022-11-28 19:48:35,388.25,169.471125,376.0,164.124
4,PLAYER_861,2023-01-16 21:30:18,371.75,162.268875,331.0,144.4815
5,PLAYER_861,2023-02-17 22:28:32,390.5,170.45325,297.25,129.749625
6,PLAYER_861,2023-09-01 19:29:02,330.0,144.045,483.75,211.156875
7,PLAYER_861,2024-01-26 20:24:05,259.0,113.0535,223.0,97.3395
