,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_670,2023-07-17 13:03:32,279.25,111.839625,209.75,84.004875
1,PLAYER_670,2023-11-16 17:16:09,263.75,105.631875,245.75,98.422875
2,PLAYER_670,2024-01-24 19:24:29,319.0,127.7595,304.5,121.95225
3,PLAYER_670,2024-04-03 17:50:05,308.0,123.354,307.75,123.253875
4,PLAYER_670,2024-07-15 15:26:26,294.25,117.847125,315.0,126.1575
5,PLAYER_670,2024-09-24 18:14:54,322.5,129.16125,325.0,130.1625
6,PLAYER_670,2025-01-27 12:45:43,,,2.5,1.00125
7,PLAYER_670,2025-01-27 12:46:26,320.5,128.36025,311.25,124.655625
8,PLAYER_670,2025-04-08 13:49:14,299.25,119.849625,296.75,118.848375
