,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_593,2024-06-24 16:11:49,459.224855,2904.79259,,,,
1,PLAYER_593,2024-06-24 17:43:25,,,417.25,197.150625,358.25,169.273125
2,PLAYER_593,2024-06-25 16:29:17,508.826292,3440.415598,,,,
3,PLAYER_593,2024-06-26 16:30:55,411.733954,2850.021606,,,,
4,PLAYER_593,2024-06-28 15:50:42,424.359235,2946.444357,,,,
5,PLAYER_593,2024-07-01 16:30:00,509.535798,3607.514278,,,,
6,PLAYER_593,2024-07-02 16:15:59,460.282238,2943.831065,,,,
7,PLAYER_593,2024-07-03 17:41:31,,,391.75,199.204875,328.75,167.169375
8,PLAYER_593,2024-07-03 17:41:48,,,435.0,221.1975,345.75,175.813875
9,PLAYER_593,2024-07-08 16:55:05,370.735609,2078.15258,,,,
10,PLAYER_593,2024-07-09 17:00:00,395.043671,2729.945779,,,,
11,PLAYER_593,2024-07-10 16:50:45,504.125861,3460.845796,,,,
12,PLAYER_593,2024-07-12 15:50:16,535.042723,4010.856526,,,,
13,PLAYER_593,2024-07-17 19:15:27,280.351668,1868.354176,,,,
14,PLAYER_593,2024-07-22 17:00:05,370.517474,2508.818964,,,,
15,PLAYER_593,2024-07-24 18:00:12,376.813333,2611.061285,,,,
16,PLAYER_593,2024-07-25 17:00:47,386.153256,2700.940864,,,,
17,PLAYER_593,2024-07-26 17:15:49,334.440837,2366.856048,,,,
18,PLAYER_593,2024-08-02 17:00:24,386.476653,2522.10191,,,,
19,PLAYER_593,2024-08-05 17:00:06,411.65467,2939.885107,,,,
20,PLAYER_593,2024-08-06 17:00:25,402.296881,2859.402929,,,,
21,PLAYER_593,2024-08-07 17:00:42,438.776381,3261.986817,,,,
22,PLAYER_593,2024-08-08 17:00:47,354.488656,2742.317379,,,,
23,PLAYER_593,2024-08-12 13:00:06,393.117485,2579.701766,,,,
24,PLAYER_593,2024-08-13 11:37:10,,,529.0,268.9965,450.25,228.952125
25,PLAYER_593,2024-08-30 17:30:10,119.695438,942.834512,,,,
26,PLAYER_593,2024-09-03 17:00:00,326.701904,2318.435243,,,,
27,PLAYER_593,2024-09-04 11:00:39,455.889869,3361.526546,,,,
28,PLAYER_593,2024-09-05 17:00:29,384.23241,2646.130516,,,,
29,PLAYER_593,2024-09-06 17:00:00,366.578701,2672.375519,,,,
30,PLAYER_593,2024-09-09 17:00:00,443.062274,3351.69203,,,,
31,PLAYER_593,2024-09-10 17:00:55,534.796823,3823.142721,,,,
32,PLAYER_593,2024-09-11 10:50:25,398.586919,2949.201024,,,,
33,PLAYER_593,2024-09-12 17:25:50,404.764545,2476.712884,,,,
34,PLAYER_593,2024-09-13 16:40:13,129.261205,934.860792,,,,
35,PLAYER_593,2024-09-16 18:10:55,2.123358,0.368012,,,,
36,PLAYER_593,2024-09-17 17:05:49,510.036238,3679.716288,,,,
37,PLAYER_593,2024-09-18 17:25:14,455.830277,3273.810601,,,,
38,PLAYER_593,2024-09-23 17:10:08,834.287615,6031.853311,,,,
39,PLAYER_593,2024-09-24 16:45:07,29.495628,111.619713,,,,
40,PLAYER_593,2024-09-26 17:35:52,647.433821,4652.783722,,,,
41,PLAYER_593,2024-09-27 17:37:53,698.606121,5014.293092,,,,
42,PLAYER_593,2024-09-28 12:40:00,16.657376,52.313775,,,,
43,PLAYER_593,2024-09-28 14:50:53,670.433845,4814.90497,,,,
44,PLAYER_593,2024-09-30 17:50:06,745.016542,5477.195796,,,,
45,PLAYER_593,2024-10-01 10:58:11,609.374043,4314.407817,,,,
46,PLAYER_593,2024-10-03 17:00:18,904.030602,6788.434266,,,,
47,PLAYER_593,2024-10-04 17:30:11,649.86468,4696.707602,,,,
48,PLAYER_593,2024-10-05 15:01:17,615.906904,4475.853885,,,,
49,PLAYER_593,2024-10-08 17:43:56,434.209673,3139.59098,,,,
50,PLAYER_593,2024-10-09 16:44:58,752.371565,5374.406586,,,,
51,PLAYER_593,2024-10-10 17:00:58,751.523553,5224.205624,,,,
52,PLAYER_593,2024-10-14 20:27:58,523.918292,3822.503216,,,,
53,PLAYER_593,2024-10-15 17:00:01,709.955259,5117.828168,,,,
54,PLAYER_593,2024-10-16 17:20:12,640.973567,4680.8945,,,,
55,PLAYER_593,2024-10-17 17:21:05,536.899205,3858.688174,,,,
56,PLAYER_593,2024-10-18 22:30:51,706.259272,4728.729781,,,,
57,PLAYER_593,2024-10-21 16:59:32,734.294641,5393.544605,,,,
58,PLAYER_593,2024-10-22 17:26:18,783.678588,5683.197327,,,,
59,PLAYER_593,2024-10-24 17:25:01,751.49613,5597.577322,,,,
60,PLAYER_593,2024-10-25 17:15:55,655.957362,4746.089666,,,,
61,PLAYER_593,2024-10-26 15:15:04,862.046483,6008.467584,,,,
