,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_889,2022-01-17 15:47:00,340.25,166.892625,328.5,161.12925
1,PLAYER_889,2022-01-24 16:54:12,379.25,186.022125,327.0,160.3935
2,PLAYER_889,2022-02-07 16:50:10,350.5,171.92025,342.75,168.118875
3,PLAYER_889,2022-02-21 17:00:38,361.75,177.438375,337.75,165.666375
4,PLAYER_889,2022-03-21 15:58:48,397.0,194.7285,339.5,166.52475
5,PLAYER_889,2022-04-04 15:50:02,417.0,204.5385,286.5,140.52825
6,PLAYER_889,2022-04-11 15:47:37,435.5,213.61275,384.25,188.474625
7,PLAYER_889,2022-04-25 15:54:38,385.5,189.08775,347.25,170.326125
8,PLAYER_889,2022-09-06 14:39:57,415.5,203.80275,351.0,172.1655
9,PLAYER_889,2022-11-21 15:25:38,390.5,191.54025,377.5,185.16375
