,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_474,2022-08-26 14:42:46,248.75,113.056875,274.75,124.873875
1,PLAYER_474,2022-09-06 13:46:52,227.75,103.512375,244.5,111.12525
2,PLAYER_474,2022-09-20 13:29:16,248.25,112.829625,257.75,117.147375
3,PLAYER_474,2022-10-04 13:22:06,268.5,122.03325,315.25,143.281125
4,PLAYER_474,2022-11-17 14:45:09,261.75,118.965375,295.5,134.30475
5,PLAYER_474,2023-01-21 18:26:11,254.5,115.67025,264.5,120.21525
6,PLAYER_474,2023-04-18 13:13:41,242.25,110.102625,348.25,158.279625
7,PLAYER_474,2023-08-31 13:10:15,271.75,123.510375,290.75,132.145875
8,PLAYER_474,2023-11-09 17:37:55,307.25,139.645125,286.75,130.327875
9,PLAYER_474,2023-11-28 17:04:11,374.25,170.096625,240.75,109.420875
10,PLAYER_474,2023-11-30 17:29:01,288.75,131.236875,277.25,126.010125
11,PLAYER_474,2024-01-18 19:00:33,341.75,155.325375,260.75,118.510875
12,PLAYER_474,2024-04-02 16:37:32,366.0,,263.75,
