,playername,timestamp,leftMaxForce,leftTorque,rightMaxForce,rightTorque
0,PLAYER_213,2023-01-23 16:08:21,480.75,222.827625,379.75,176.014125
1,PLAYER_213,2023-02-16 13:22:06,505.75,234.415125,460.5,213.44175
2,PLAYER_213,2023-04-26 13:46:37,609.25,282.387375,463.75,214.948125
3,PLAYER_213,2023-05-22 14:48:14,569.5,263.96325,468.0,216.918
4,PLAYER_213,2023-06-15 15:35:00,520.25,241.135875,420.5,194.90175
5,PLAYER_213,2023-06-29 15:34:48,535.0,247.9725,434.0,201.159
6,PLAYER_213,2023-07-13 15:58:18,545.0,252.6075,496.5,230.12775
7,PLAYER_213,2023-07-13 15:58:46,494.75,229.316625,410.0,190.035
8,PLAYER_213,2023-07-13 15:59:13,383.5,177.75225,335.5,155.50425
9,PLAYER_213,2023-07-31 18:07:15,303.25,140.556375,259.75,120.394125
10,PLAYER_213,2024-01-23 13:44:33,541.0,260.4915,460.25,221.610375
11,PLAYER_213,2024-03-19 12:20:57,627.25,302.020875,519.0,249.8985
12,PLAYER_213,2024-06-06 12:20:45,670.5,322.84575,481.25,231.721875
13,PLAYER_213,2024-07-03 13:19:20,607.25,281.460375,478.5,221.78475
14,PLAYER_213,2024-07-12 11:48:05,487.75,226.072125,463.0,214.6005
15,PLAYER_213,2024-07-26 11:35:24,526.25,243.916875,455.25,211.008375
16,PLAYER_213,2025-01-22 20:09:23,541.25,250.869375,502.0,232.677
17,PLAYER_213,2025-02-24 13:28:25,595.5,276.01425,483.0,223.8705
18,PLAYER_213,2025-06-02 13:45:57,578.25,268.018875,463.25,214.716375
19,PLAYER_213,2025-07-02 12:58:38,600.75,278.447625,472.5,219.00375
