,metric
185,event_count_speed_zone_entry_category2
186,event_count_speed_zone_entry_category2_avg_per_minute
187,event_count_speed_zone_entry_category3
188,event_count_speed_zone_entry_category3_avg_per_minute
189,event_count_speed_zone_entry_category4
190,event_count_speed_zone_entry_category4_avg_per_minute
191,event_count_speed_zone_entry_category5
192,event_count_speed_zone_entry_category5_avg_per_minute
193,event_count_speed_zone_entry_category6
194,event_count_speed_zone_entry_category6_avg_per_minute
195,event_count_speed_zone_entry_category7
196,event_count_speed_zone_entry_category7_avg_per_minute
197,event_count_tag
198,event_count_tag_avg_per_minute
199,event_count_tempo_run
200,event_count_tempo_run_avg_per_minute
201,Flight Time(s)
202,Force at 0 ms(N)
203,Force at 100 ms(N)
204,Force at 150 ms(N)
205,Force at 200 ms(N)
206,Force at 250 ms(N)
207,Force at 50 ms(N)
208,Force at Min Displacement(N)
209,heart_rate_avg
210,heart_rate_max
211,heart_rate_min
212,human_core_temperature_avg
213,human_core_temperature_max
214,Impact Peak(Yes/No)
215,Impact Phase %
216,Impact Phase(s)
217,Impact RFD(N/s)
218,Impulse 0-100ms(N.s)
219,Impulse 0-150ms(N.s)
220,Impulse 0-200ms(N.s)
221,Impulse 0-250ms(N.s)
222,Impulse 0-50ms(N.s)
223,Impulse Ratio
224,Initiation Threshold(N)
225,Jump Height(m)
226,Jump Momentum(kg.m/s)
227,jump_height_max
228,jump_load
229,jump_load_avg_per_minute
230,jump_load_per_mass
231,jump_load_per_mass_avg_per_minute
232,L|R Avg. Braking Force(%)
233,L|R Avg. Braking RFD(%)
234,L|R Avg. Force(%)
235,L|R Avg. Impact Force(%)
236,L|R Avg. Landing Force(%)
237,L|R Avg. Propulsive Force(%)
238,L|R Avg. Stabilization Force(%)
239,L|R Braking Impulse Index(%)
240,L|R Impact RFD(%)
241,L|R Landing Impulse Index(%)
242,L|R Peak Braking Force(%)
243,L|R Peak Force(%)
244,L|R Peak Landing Force(%)
245,L|R Peak Propulsive Force(%)
246,L|R Propulsive Impulse Index(%)
247,Landing Height(m)
248,Landing Performance Index
249,Landing Phase(s)
250,Landing Stiffness(N/m)
251,Left AP Sway Length(cm)
252,Left AP Sway Range(cm)
253,Left Avg. AP Sway Velocity(cm/s)
254,Left Avg. Braking Force(N)
255,Left Avg. Braking RFD(N/s)
256,Left Avg. Impact Force(N)
257,Left Avg. Landing Force(N)
258,Left Avg. ML Sway Velocity(cm/s)
259,Left Avg. Propulsive Force(N)
260,Left Avg. Stabilization Force(N)
261,Left CMJ Avg. Braking Force(N)
262,Left CMJ Avg. Propulsive Force(N)
263,Left Force at 0 ms(N)
264,Left Force at 100 ms(N)
265,Left Force at 150 ms(N)
266,Left Force at 200 ms(N)
267,Left Force at 250 ms(N)
268,Left Force at 50 ms(N)
269,Left Force at Peak Braking Force(N)
270,Left Force at Peak Force(N)
271,Left Force at Peak Landing Force(N)
272,Left Force at Peak Propulsive Force(N)
273,Left Impact RFD(N/s)
274,Left ML Sway Length(cm)
275,Left ML Sway Range(cm)
276,Left Peak Force(N)
277,Left Rebound Avg. Braking Force(N)
278,Left Rebound Avg. Propulsive Force(N)
279,Left Sway Length(cm)
280,Left Sway Range(cm)
281,Left Sway Velocity(cm/s)
282,leftAvgForce
283,leftCalibration
284,leftImpulse
285,leftMaxForce
286,leftRepetitions
287,leftTorque
288,Length of Pull(s)
289,load_acceleration_load_category1
290,load_acceleration_load_category2
291,load_acceleration_load_category3
292,load_acceleration_load_category4
293,load_acceleration_load_category5
294,mechanical_accel_category1
295,mechanical_accel_category1_avg_per_minute
296,mechanical_accel_category2
297,mechanical_accel_category2_avg_per_minute
298,mechanical_accel_category3
299,mechanical_accel_category3_avg_per_minute
300,mechanical_accel_category4
301,mechanical_accel_category4_avg_per_minute
302,mechanical_accel_total
303,mechanical_accel_total_avg_per_minute
304,mechanical_decel_category1
305,mechanical_decel_category1_avg_per_minute
306,mechanical_decel_category2
307,mechanical_decel_category2_avg_per_minute
308,mechanical_decel_category3
309,mechanical_decel_category3_avg_per_minute
310,mechanical_decel_category4
311,mechanical_decel_category4_avg_per_minute
312,mechanical_decel_total
313,mechanical_decel_total_avg_per_minute
314,mechanical_intensity
315,mechanical_load
316,metabolic_power_avg
317,metabolic_power_max
318,metabolic_power_per_mass_avg
319,metabolic_power_per_mass_max
320,metabolic_work
321,metabolic_work_avg_per_minute
322,mRSI
323,needs_reprocessing
324,Net Force at 0 ms(N)
325,Net Force at 100 ms(N)
326,Net Force at 150 ms(N)
327,Net Force at 200 ms(N)
328,Net Force at 250 ms(N)
329,Net Force at 50 ms(N)
330,Net Impulse 0-100ms(N.s)
331,Net Impulse 0-150ms(N.s)
332,Net Impulse 0-200ms(N.s)
333,Net Impulse 0-250ms(N.s)
334,Net Impulse 0-50ms(N.s)
335,Net Impulse Ratio
336,Net Peak Force(N)
337,Number of Jumps(Count)
338,only_imu
339,P1 Propulsive Impulse(N.s)
340,P1|P2 Propulsive Impulse Index
341,P2 Propulsive Impulse(N.s)
342,Peak Braking Force(N)
343,Peak Braking Power(W)
344,Peak Braking Velocity(m/s)
345,Peak Force(N)
346,Peak Impact Power(W)
347,Peak Jump Height(m)
348,Peak Jump mRSI
349,Peak Jump RSI
350,Peak Landing Force(N)
351,Peak Left Force(N)
352,Peak mRSI
353,Peak Propulsive Force(N)
354,Peak Propulsive Power(W)
355,Peak Relative Braking Force(%)
356,Peak Relative Braking Power(W/kg)
357,Peak Relative Force(%)
358,Peak Relative Impact Power(W/kg)
359,Peak Relative Propulsive Force(%)
360,Peak Relative Propulsive Power(W/kg)
361,Peak Relative Stabilization Power(W/kg)
362,Peak Right Force(N)
363,Peak RSI
364,Peak Stabilization Power(W)
365,Peak Velocity(m/s)
366,physio_intensity
367,physio_load
368,Positive Impulse(N.s)
369,Positive Net Impulse(N.s)
370,Propulsive Impulse(N.s)
371,Propulsive Net Impulse(N.s)
372,Propulsive Phase %
373,Propulsive Phase(s)
374,Propulsive RFD(N/s)
375,Rebound Avg. Braking Force(N)
376,Rebound Avg. Braking Power(W)
377,Rebound Avg. Propulsive Force(N)
378,Rebound Avg. Propulsive Power(W)
379,Rebound Avg. Relative Braking Force(%)
380,Rebound Avg. Relative Braking Power(W/kg)
381,Rebound Avg. Relative Propulsive Force(%)
382,Rebound Avg. Relative Propulsive Power(W/kg)
383,Rebound Braking Impulse(N.s)
384,Rebound Braking Net Impulse(N.s)
385,Rebound Contact Time(ms)
386,Rebound Depth(m)
387,Rebound Flight Time(ms)
388,Rebound Force At Min Displacement(N)
389,Rebound Impact Peak(Yes/No)
390,Rebound Impulse Ratio
391,Rebound Jump Height(m)
392,Rebound Jump Momentum(kg.m/s)
393,Rebound L|R Avg. Braking Force(%)
394,Rebound L|R Avg. Propulsive Force(%)
395,Rebound L|R Braking Impulse Index(%)
396,Rebound L|R Propulsive Impulse Index(%)
397,Rebound Modified RSI
398,Rebound Peak Braking Force(N)
399,Rebound Peak Braking Power(W)
400,Rebound Peak Propulsive Force(N)
401,Rebound Peak Propulsive Power(W)
402,Rebound Peak Relative Braking Force(%)
403,Rebound Peak Relative Braking Power(W/kg)
404,Rebound Peak Relative Propulsive Force(%)
405,Rebound Peak Relative Propulsive Power(W/kg)
406,Rebound Positive Impulse(N.s)
407,Rebound Positive Net Impulse(N.s)
408,Rebound Propulsive Impulse(N.s)
409,Rebound Propulsive Net Impulse(N.s)
410,Rebound Relative Braking Impulse(N.s/kg)
411,Rebound Relative Braking Net Impulse(N.s/kg)
412,Rebound Relative Force At Min Displacement(%)
413,Rebound Relative Propulsive Impulse(N.s/kg)
414,Rebound Relative Propulsive Net Impulse(N.s/kg)
415,Rebound RSI
416,Rebound Spring Like Correlation
417,Rebound Stiffness(N/m)
418,Rebound Time to Peak Braking Force(ms)
419,Relative Braking Impulse(N.s/kg)
420,Relative Braking Net Impulse(N.s/kg)
421,Relative Force at 0 ms (BW)(N/kg)
422,Relative Force at 0 ms(%)
423,Relative Force at 100 ms (BW)(N/kg)
424,Relative Force at 100 ms(%)
425,Relative Force at 150 ms (BW)(N/kg)
