playername,team,flag_reason,metric_value,last_test_date,test_date
PLAYER_902,Mens Soccer,High Max Force Asymmetry,-12.22755818248984,2024-10-30,
PLAYER_902,Mens Soccer,High Torque Asymmetry,-12.22755818248984,2024-10-30,
PLAYER_902,Mens Soccer,Not Tested in > 30 days,,,2024-10-30
PLAYER_933,Mens Basketball,High Max Force Asymmetry,14.19607843137255,2024-06-24,
PLAYER_933,Mens Basketball,High Torque Asymmetry,14.196078431372548,2024-06-24,
PLAYER_933,Mens Basketball,Not Tested in > 30 days,,,2024-06-24
PLAYER_944,Womens Soccer,High Max Force Asymmetry,11.287988422575976,2024-09-24,
PLAYER_944,Womens Soccer,High Torque Asymmetry,11.287988422575976,2024-09-24,
PLAYER_944,Womens Soccer,Not Tested in > 30 days,,,2024-09-24
PLAYER_953,Football,Not Tested in > 30 days,,,2025-07-02
PLAYER_964,Mens Soccer,Not Tested in > 30 days,,,2024-08-06
PLAYER_988,Mens Basketball,Not Tested in > 30 days,,,2024-06-24
PLAYER_995,Mens Basketball,High Max Force Asymmetry,12.615384615384617,2024-06-24,
PLAYER_995,Mens Basketball,High Torque Asymmetry,12.615384615384617,2024-06-24,
PLAYER_995,Mens Basketball,High Max Force Asymmetry,10.1010101010101,2025-09-05,
PLAYER_995,Mens Basketball,High Torque Asymmetry,10.101010101010106,2025-09-05,
