,metric,metric_count
0,leftAvgForce,4275
1,leftCalibration,4275
2,leftImpulse,4275
3,leftMaxForce,4275
4,leftRepetitions,4275
5,leftTorque,4275
6,rightAvgForce,4275
7,rightCalibration,4275
8,rightImpulse,4275
9,rightMaxForce,4275
