,playername,source_count
256,PLAYER_338,2
257,PLAYER_341,3
258,PLAYER_342,3
259,PLAYER_343,3
260,PLAYER_346,2
261,PLAYER_347,2
262,PLAYER_350,2
263,PLAYER_352,2
264,PLAYER_353,3
265,PLAYER_356,2
266,PLAYER_358,2
267,PLAYER_359,2
268,PLAYER_361,2
269,PLAYER_363,3
270,PLAYER_365,2
271,PLAYER_374,2
272,PLAYER_375,3
273,PLAYER_376,3
274,PLAYER_379,2
275,PLAYER_381,2
276,PLAYER_382,2
277,PLAYER_384,2
278,PLAYER_385,2
279,PLAYER_386,2
280,PLAYER_387,2
281,PLAYER_388,2
282,PLAYER_390,2
283,PLAYER_391,2
284,PLAYER_392,2
285,PLAYER_395,2
286,PLAYER_399,2
287,PLAYER_401,2
288,PLAYER_403,2
289,PLAYER_404,3
290,PLAYER_406,2
291,PLAYER_407,2
292,PLAYER_408,2
293,PLAYER_410,2
294,PLAYER_412,3
295,PLAYER_413,3
296,PLAYER_414,2
297,PLAYER_415,2
298,PLAYER_416,2
299,PLAYER_417,2
300,PLAYER_418,2
301,PLAYER_419,2
302,PLAYER_422,2
303,PLAYER_423,3
304,PLAYER_426,2
305,PLAYER_427,2
306,PLAYER_428,2
307,PLAYER_429,2
308,PLAYER_430,3
309,PLAYER_432,2
310,PLAYER_437,2
311,PLAYER_438,2
312,PLAYER_441,2
313,PLAYER_442,2
314,PLAYER_445,2
315,PLAYER_450,2
316,PLAYER_451,2
317,PLAYER_452,2
318,PLAYER_454,2
319,PLAYER_455,2
320,PLAYER_457,3
321,PLAYER_464,2
322,PLAYER_465,2
323,PLAYER_466,2
324,PLAYER_468,2
325,PLAYER_469,3
326,PLAYER_470,2
327,PLAYER_474,2
328,PLAYER_479,2
329,PLAYER_480,3
330,PLAYER_481,2
331,PLAYER_482,3
332,PLAYER_483,2
333,PLAYER_486,2
334,PLAYER_488,2
335,PLAYER_489,2
336,PLAYER_490,3
337,PLAYER_491,2
338,PLAYER_499,2
339,PLAYER_501,2
340,PLAYER_503,2
341,PLAYER_510,2
342,PLAYER_517,2
343,PLAYER_518,3
344,PLAYER_519,2
345,PLAYER_520,2
346,PLAYER_522,2
347,PLAYER_523,2
348,PLAYER_525,2
349,PLAYER_527,2
350,PLAYER_528,2
351,PLAYER_529,2
352,PLAYER_530,2
353,PLAYER_531,2
354,PLAYER_533,2
355,PLAYER_539,2
356,PLAYER_540,3
357,PLAYER_545,2
358,PLAYER_547,2
359,PLAYER_548,2
360,PLAYER_551,2
361,PLAYER_552,3
362,PLAYER_555,3
363,PLAYER_557,3
364,PLAYER_559,2
365,PLAYER_560,2
366,PLAYER_561,2
367,PLAYER_563,2
368,PLAYER_564,2
369,PLAYER_566,2
370,PLAYER_567,3
371,PLAYER_574,2
